year,month,day,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Philadelphia,New York,Boston
2014,9,30,287.0640416666667,285.3564791666667,289.28147916666666,286.1450208333333,290.6939791666667,290.84397916666666,288.74502083333334,292.26585416666666,286.32627083333335,282.6460625,298.40439583333335,297.2179375,298.6887708333333,295.02945833333337,282.4856458333333,294.22939583333334,288.1575208333333,295.4283541666667,291.04716666666667,293.2116875,288.20133333333337,296.3137708333333,291.9898125,299.39925,289.9502291666667,292.82314583333334,292.48625,289.06064583333335
2014,10,1,285.9841666666667,283.90112500000004,292.0006041666667,285.873,291.2907083333333,290.91154166666666,289.48966666666666,292.80008333333336,286.248,281.2110208333333,299.9313333333333,299.2672708333333,299.06206249999997,295.30952083333335,286.1490416666667,294.5865416666667,288.07925,294.423,288.16577083333334,293.85945833333335,286.7043125,296.73185416666666,294.344875,300.0480625,289.17977083333335,291.4750833333333,290.1225,288.0844583333333
2014,10,2,284.69083333333333,282.97739583333333,291.71020833333336,284.6273958333333,291.99093750000003,292.88156250000003,287.21177083333333,293.5409375,286.34302083333336,279.34250000000003,300.7378125,301.25604166666665,299.6664583333333,293.13989583333336,286.5523958333333,296.42322916666666,291.73572916666666,295.52010416666667,293.03052083333336,294.74302083333333,289.9003125,298.18104166666666,293.8336458333333,299.93677083333336,288.58520833333336,289.84822916666667,290.43625000000003,287.4065625
2014,10,3,285.84499999999997,285.64039583333334,293.3310208333333,285.4331041666667,292.9976875,293.63310416666667,287.89560416666666,293.6975625,283.7226875,277.5131875,296.89339583333333,294.11006249999997,296.1549791666667,284.8935208333333,280.9445625,289.84977083333337,289.3590208333333,294.6278958333333,291.8298541666667,296.1758125,291.67164583333334,298.2508125,293.99547916666666,298.83193750000004,292.3381875,289.24039583333337,290.0670833333333,286.37685416666665
2014,10,4,287.77625,287.20356250000003,292.9629375,287.3400208333333,295.0921041666667,295.16710416666666,290.55147916666664,295.34627083333334,285.06814583333335,281.1629375,293.8473125,289.98897916666664,292.10460416666666,280.5618958333333,278.1837708333333,280.88064583333335,280.66710416666666,284.6816875,279.4493958333333,288.0066875,282.26606250000003,296.24314583333336,290.4410625,298.55772916666666,284.47439583333335,290.1785625,290.7029166666667,287.80981249999996
2014,10,5,288.37125,289.08606249999997,291.7881458333333,287.4964791666667,294.8485625,294.1683541666667,291.1527291666667,295.0173125,285.45585416666665,284.1527291666667,295.6527291666667,293.2975208333333,292.78085416666664,285.41210416666667,277.39335416666665,282.2391875,281.7485625,283.8110625,280.46835416666664,285.1100208333333,281.5485625,291.58814583333333,283.90897916666665,297.8454375,279.6704375,282.1048125,284.24833333333333,287.3641875
2014,10,6,288.22875,290.2666875,290.2146041666667,288.85939583333334,293.8187708333333,292.9979375,291.4552291666667,294.5479375,286.40627083333334,285.40627083333334,299.64377083333335,296.2354375,296.7406458333333,288.5739791666667,279.3510625,287.45210416666663,284.46877083333334,290.25314583333335,284.7093958333333,289.88335416666666,284.53439583333335,291.6729375,287.5448125,298.5646041666667,285.09377083333334,283.7333541666667,285.47208333333333,285.5896041666667
2014,10,7,288.43658547900003,290.44295833333337,289.8835833333333,289.887875,292.37225,293.73579166666667,292.01391666666666,294.6648333333333,286.2462083333333,286.6544166666667,299.8305833333333,297.39620833333333,296.5826666666667,291.21808333333337,282.5232916666667,290.94620833333335,286.20870833333333,291.0285,284.8773333333333,293.6587083333333,284.96391666666665,295.8243333333333,291.0180833333333,299.95441666666665,287.5180833333333,291.79620833333337,291.4497660892917,289.72420833333337
2014,10,8,287.64547091820833,288.706375,289.368875,288.6553333333333,293.05439583333333,294.006375,292.46158333333335,294.26158333333336,288.162625,286.3085625,299.8522083333333,299.4345,299.5825208333333,289.83564583333333,280.7991875,288.29502083333335,286.30012500000004,293.2252291666667,284.64387500000004,296.6741875,284.51158333333336,297.4554375,294.775125,299.8293958333333,286.09075,291.0356458333333,291.9433333333333,290.368875
2014,10,9,287.64208333333335,287.15989583333334,289.0692708333333,287.1015625,291.60470833333335,290.75989583333336,290.3546875,292.72031250000003,287.93177083333336,283.0692916666667,300.6953125,298.8932291666667,299.537,291.25783333333334,277.715125,289.6609583333333,285.69635416666665,291.946375,283.0484375,295.42970833333334,283.0807291666667,297.9390833333334,292.49427083333336,301.4745,283.91197916666664,287.66825,288.25166666666667,287.5807291666667
