year,month,day,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Philadelphia,New York,Boston
2012,10,1,78.27272727272727,78.72727272727273,83.0,78.0,88.0,79.9090909090909,20.727272727272727,24.181818181818183,48.90909090909091,63.18181818181818,91.63636363636364,85.63636363636364,86.81818181818181,69.0,64.27272727272727,71.45454545454545,68.9090909090909,98.27272727272727,76.0,94.0,73.0,85.72727272727273,87.0,80.9090909090909,93.0,68.27272727272727,56.27272727272727,68.0
2012,10,2,77.375,65.83333333333333,65.95833333333333,65.16666666666667,64.91666666666667,65.875,16.166666666666668,24.476190476190474,40.36363636363637,66.6470588235294,82.41666666666667,68.20833333333333,60.0,66.125,52.083333333333336,69.16666666666667,60.578947368421055,94.33333333333333,74.91666666666667,94.25,57.458333333333336,78.08333333333333,89.70833333333333,79.33333333333333,78.875,54.5,50.95,68.75
2012,10,3,71.625,66.20833333333333,47.083333333333336,58.416666666666664,44.875,59.75,14.5,18.38095238095238,31.904761904761905,36.869565217391305,69.875,51.333333333333336,65.25,45.869565217391305,48.708333333333336,63.041666666666664,53.81818181818182,82.42857142857143,93.375,83.75,65.75,77.33333333333333,84.04166666666667,84.20833333333333,81.25,78.79166666666667,68.54166666666667,86.04166666666667
2012,10,4,49.0,51.166666666666664,60.166666666666664,48.869565217391305,66.625,75.58333333333333,15.166666666666666,20.238095238095237,19.681818181818183,14.75,67.29166666666667,53.458333333333336,71.5,55.95652173913044,48.0,69.75,73.0,74.1,83.95833333333333,82.70833333333333,75.75,79.79166666666667,77.69565217391305,79.375,77.58333333333333,88.56521739130434,94.54545454545455,84.75
2012,10,5,43.40909090909091,40.391304347826086,69.66666666666667,48.52173913043478,70.25,72.79166666666667,14.647058823529411,27.77777777777778,18.25,49.5,70.33333333333333,57.0,72.0,63.04347826086956,51.294117647058826,78.22222222222223,69.52173913043478,82.0,66.91666666666667,77.79166666666667,65.54166666666667,88.16666666666667,74.66666666666667,78.45833333333333,65.125,84.75,93.04166666666667,73.33333333333333
2012,10,6,43.166666666666664,40.75,73.54166666666667,48.45,75.04166666666667,70.0,20.05263157894737,27.428571428571427,19.238095238095237,66.0952380952381,69.45833333333333,64.29166666666667,76.875,65.47368421052632,54.36363636363637,79.34782608695652,61.94736842105263,72.75,84.125,66.8695652173913,69.125,87.08333333333333,72.33333333333333,72.125,64.41666666666667,68.91666666666667,71.0,68.70833333333333
2012,10,7,49.888888888888886,36.68181818181818,71.58333333333333,49.833333333333336,74.58333333333333,72.41666666666667,20.6,23.416666666666668,29.695652173913043,79.9090909090909,76.33333333333333,66.875,77.95833333333333,58.095238095238095,57.25,73.95,48.95652173913044,70.56521739130434,77.83333333333333,76.875,85.1875,80.70833333333333,69.625,72.5,68.4090909090909,69.33333333333333,66.45833333333333,73.95833333333333
2012,10,8,59.8421052631579,37.59090909090909,72.04166666666667,51.291666666666664,73.25,72.83333333333333,17.083333333333332,28.476190476190474,51.75,63.0,74.125,61.904761904761905,71.41666666666667,52.583333333333336,50.90909090909091,55.64705882352941,47.75,61.55,64.1304347826087,73.29166666666667,61.42857142857143,79.58333333333333,84.70833333333333,80.58333333333333,64.1304347826087,63.875,62.78260869565217,75.5
2012,10,9,61.875,55.523809523809526,74.20833333333333,61.625,76.20833333333333,68.95833333333333,20.72222222222222,30.1,37.0,32.611111111111114,64.125,57.833333333333336,65.08333333333333,61.130434782608695,42.63636363636363,63.095238095238095,49.26315789473684,61.666666666666664,56.57142857142857,76.25,60.0,81.08333333333333,78.04166666666667,83.83333333333333,80.58333333333333,77.45833333333333,72.3,80.66666666666667
2012,10,10,76.17391304347827,62.6,74.5,68.08333333333333,70.41666666666667,65.08333333333333,16.625,32.68181818181818,20.352941176470587,22.307692307692307,69.04166666666667,66.29166666666667,74.66666666666667,57.166666666666664,55.65217391304348,63.291666666666664,44.411764705882355,73.66666666666667,61.4,74.8695652173913,49.583333333333336,83.68181818181819,84.17391304347827,76.375,71.30434782608695,73.35,74.66666666666667,83.375
2012,10,11,76.38095238095238,51.526315789473685,68.41666666666667,64.04166666666667,62.416666666666664,64.08333333333333,24.833333333333332,26.5,33.583333333333336,36.13333333333333,72.66666666666667,82.08333333333333,77.95833333333333,53.0,53.59090909090909,59.47826086956522,55.36842105263158,57.541666666666664,61.166666666666664,74.875,61.5,76.125,69.375,74.625,67.79166666666667,80.83333333333333,85.04166666666667,80.66666666666667
2012,10,12,89.95652173913044,80.30434782608695,71.16666666666667,77.79166666666667,66.95833333333333,67.04166666666667,74.20833333333333,33.708333333333336,31.0,45.333333333333336,77.41666666666667,79.875,78.75,53.40909090909091,40.73913043478261,59.0,48.608695652173914,59.083333333333336,60.36363636363637,71.125,54.625,71.125,57.75,68.125,50.77272727272727,45.391304347826086,48.45,62.5
2012,10,13,86.73913043478261,77.52173913043478,70.54166666666667,77.54166666666667,64.95833333333333,66.875,65.04166666666667,43.416666666666664,44.125,52.06666666666667,72.79166666666667,71.79166666666667,73.0,53.13636363636363,46.82608695652174,65.70833333333333,52.77272727272727,79.08333333333333,58.43478260869565,62.75,49.89473684210526,66.91666666666667,66.5,60.833333333333336,49.69565217391305,57.75,58.54545454545455,67.625
2012,10,14,92.79166666666667,88.41666666666667,68.875,82.79166666666667,64.70833333333333,66.375,56.25,40.416666666666664,37.77272727272727,55.04347826086956,77.83333333333333,71.83333333333333,81.16666666666667,85.66666666666667,69.45833333333333,81.875,62.875,84.66666666666667,67.375,71.20833333333333,76.57894736842105,66.66666666666667,63.958333333333336,66.54166666666667,52.041666666666664,43.91304347826087,46.27272727272727,55.5
